"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","TS_1_1_1","TS_1_1_2","TS_1_1_3","SWC_1_1_1","SWC_1_1_2","SWC_1_1_3","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","hPa","deg C","deg C","m","deg C","deg C","deg C","%","%","%","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-05-05 15:30:00",563,202505051500,202505051530,428.282,1.093867,9.647087,0.3000372,-7.676584,3,120.9325,3,0.1762442,3,85.54565,3,3493920,3493917,30.09457,83.02795,42.78159,32.38018,126.966,7.525028,13.91078,0.6260725,-0.008247088,0.4096141,1,-199.3588,7.414358,1.639343,0,1.298911,-4.656613E-10,0.706225,86.15681,13.30946,53.70973,4.124124,13.07575,54.47633,4.112547,13.02647,57.47856,4.831797,6.877398,13.94979,0.3732503,1418.052,276.222,-156834.5,"NAN",20.14558,15.8137,14.33951,20.86693,270.2831,379.1935,79.09203,358.668,388.4864,0
"2025-05-05 16:00:00",564,202505051530,202505051600,427.1524,1.023579,9.235497,0.2834835,-6.541545,3,114.5166,3,0.1668814,3,90.17702,3,355144.4,355140.8,29.28836,80.81219,41.63633,31.5133,123.064,8.192411,15.3492,0.6881889,-0.006495893,0.4950553,1,-253.103,8.071492,1.829724,0,1.413646,0,0.7970624,86.14268,13.24093,51.66084,3.508363,13.01499,52.3751,3.497221,12.94889,55.45771,4.247448,7.166221,13.85175,0.3406204,1392.047,270.9071,-136798.9,"NAN",20.1606,15.82751,14.33451,20.94444,254.2165,359.9568,75.32771,356.1836,386.5962,0
"2025-05-05 16:30:00",565,202505051600,202505051630,425.8473,1.088669,8.821737,0.2688255,-5.14697,3,112.816,3,0.1643848,3,78.24459,3,873274.3,873270.4,29.32276,80.91161,41.68603,31.55084,119.0038,8.632609,17.53468,0.6986364,-0.005439727,0.5104686,1,-302.2449,8.5035,1.898465,0,1.50553,-1.862645E-09,0.8317744,86.13919,13.11865,49.7598,2.866494,12.88949,50.45961,2.855244,12.8322,53.46384,3.61904,7.393148,13.68854,0.3187934,1368.269,268.0764,-123619.8,"NAN",20.16973,15.83919,14.33408,21.12676,249.8452,357.5283,75.49463,353.164,385.3524,0
"2025-05-05 17:00:00",566,202505051630,202505051700,425.7518,1.015781,8.435121,0.2285212,-4.489789,3,113.5788,3,0.1654313,3,84.49495,3,-1795091,-1795095,29.75017,82.09475,42.2947,32.01142,116.634,9.438242,18.02039,0.7604991,-0.00452975,0.6060042,1,-362.9626,9.314933,1.968566,0,1.536377,0,0.8936285,86.16421,12.66884,49.04196,2.24875,12.41476,49.81268,2.236466,12.42141,52.73875,3.044976,7.261347,13.17773,0.3475752,1338.889,268.3912,-121973.2,"NAN",20.17753,15.85492,14.33296,20.64396,241.2329,348.6196,72.49929,348.1096,382.997,0
"2025-05-05 17:30:00",567,202505051700,202505051730,426.138,1.064673,8.413157,0.2024535,-1.967056,1,83.58012,1,0.1216391,1,52.84866,1,-1704841,-1704845,29.88899,82.49292,42.49484,32.16262,112.2277,9.201592,16.47241,0.7321838,-0.00321419,0.5635627,1,-511.5223,9.113412,2.077713,0,1.280391,0,0.8663205,86.19164,11.78442,51.86977,2.216408,11.56266,52.5887,2.205515,11.57862,55.73522,3.037094,6.490167,12.32142,0.4788573,1267.005,277.5349,-139089.5,"NAN",20.18062,15.86007,14.32671,20.2246,127.842,193.9606,39.32337,348.4258,375.221,0
"2025-05-05 18:00:00",568,202505051730,202505051800,427.3568,0.7918984,8.172274,0.1221061,1.71633,8,49.50449,1,0.07195963,1,26.537,4,-1147077,-1147081,29.75494,82.16989,42.31251,32.02385,114.2993,9.308497,16.45433,0.6910583,-0.001947139,0.50454,1,-844.3824,9.230541,1.884747,0,1.205633,9.313226E-10,0.8703571,86.23078,10.49875,54.90063,1.820185,10.31383,55.54597,1.81108,10.31162,59.38592,2.746413,5.598549,11.04769,0.3380011,1092.991,295.566,-175200.9,"NAN",20.17574,15.86315,14.30855,19.6004,28.09306,62.25648,12.24976,344.2026,366.1162,0
"2025-05-05 18:30:00",569,202505051800,202505051830,428.0426,1.430767,8.362405,0.1692958,3.39578,8,47.55212,8,0.06906489,8,0.922322,8,-1.00953E+07,-1.009531E+07,30.31409,83.74316,43.11333,32.6294,115.3638,8.118158,14.52054,0.6410956,-0.0003065985,0.4356509,1,-5362.485,8.047611,1.786326,0,1.060967,0,0.7503316,86.25924,9.64884,59.47932,2.140165,9.513445,59.99236,2.133463,9.450709,64.5909,3.111828,4.775997,10.26219,0.2245787,1000,323.828,-235528.7,"NAN",20.17604,15.85391,14.29546,20.85023,8.92766,35.85671,7.399251,341.9382,361.468,0
"2025-05-05 19:00:00",570,202505051830,202505051900,432.9736,9.799631,8.441616,0.4787403,-1.736182,7,77.19769,3,0.1119902,3,-7.663913,8,-3.740509E+07,-3.740509E+07,29.60822,81.79691,42.10941,31.86961,119.0379,7.31918,14.12517,0.5718459,0.0003695559,0.3481624,1,4448.934,7.229734,1.65671,0,1.153149,0,0.6932259,86.29029,8.372029,65.42099,2.249303,8.394513,65.33289,2.250326,8.214643,76.55204,4.324942,3.841417,9.146801,0.4605066,1000,386.4695,-552801.3,"NAN",20.18253,15.77929,14.27058,31.85871,5.184798,25.58049,8.043627,342.2796,354.6317,0.2
"2025-05-05 19:30:00",571,202505051900,202505051930,432.0235,12.11198,8.203138,0.5560206,-5.035563,7,45.46513,2,0.06588356,2,-29.40463,2,-3.311572E+07,-3.311572E+07,28.09999,78.25865,40.07362,30.31849,118.9633,5.848948,11.32073,0.4779611,0.005337409,0.2442594,1,308.0389,5.779068,1.288658,0,0.9201081,3.72529E-09,0.5970321,86.31236,7.171999,68.8933,1.833958,7.449516,67.64467,1.828719,7.061658,85.4018,4.780102,3.3585,8.163707,0.2750267,362.5533,445.9429,-1017067,"NAN",20.19428,15.48687,14.22057,38.71792,1.068258,15.98948,6.189832,341.4072,350.1385,1
"2025-05-05 20:00:00",572,202505051930,202505052000,420.7977,15.12786,8.544791,0.7044237,-0.1596878,1,64.33414,2,0.09318914,2,-21.88519,4,4928280,4928277,28.26968,78.67564,40.30607,30.49527,111.8644,5.109939,10.72682,0.4341509,0.004814614,0.2018565,1,341.4873,5.049965,1.166035,0,0.7948896,0,0.5221585,86.32688,6.806264,73.45829,2.37977,7.767758,69.10576,2.412218,6.638854,89.70854,5.070215,3.283784,8.554934,0.3894495,383.6989,480.0402,-1345363,"NAN",20.21058,15.56968,14.16677,35.41928,-0.809855,11.50019,4.00103,340.5665,348.8755,1.5
