TIMESTAMP,SIF_iFLD_A,SIF_iFLD_B
yyyy-mm-dd hh:mm:ss,µW m⁻² nm⁻¹,µW m⁻² nm⁻¹
2025-06-06 07:30:00,560.1604375069476,409.23693117894095
2025-06-06 08:00:00,1044.013019956734,809.8703360033224
2025-06-06 08:30:00,1749.9848544052725,1304.2591011402094
2025-06-06 09:00:00,2151.734098549962,1638.8924439459352
2025-06-06 09:30:00,2496.6029655814914,1960.274685597398
2025-06-06 10:00:00,2736.6973021536273,2048.6446016021837
2025-06-06 10:30:00,3011.644609221902,2258.6980131138585
2025-06-06 11:00:00,2999.910387642666,2358.0071807845075
2025-06-06 11:30:00,3147.657034298859,2449.6433816035283
2025-06-06 12:00:00,3416.451003497939,2488.6380313668715
2025-06-06 12:30:00,3008.194900676003,2484.839427847241
2025-06-06 13:00:00,3183.4159813195956,2542.543460812726
2025-06-06 13:30:00,2610.7150225774276,1964.71417970997
2025-06-06 14:00:00,3078.5573359906034,2377.204833270536
2025-06-06 14:30:00,2085.7989855301926,1593.8899093219259
2025-06-06 15:00:00,2216.2555115253995,1722.7642360887316
2025-06-06 15:30:00,2007.933133211975,1545.7124982755374
2025-06-06 16:00:00,2546.461029986398,1887.4114185057088
2025-06-06 16:30:00,1874.726955014673,1468.2095170669186
2025-06-06 17:00:00,1788.4941342443558,1251.6337212813385
2025-06-06 17:30:00,1135.12342929991,819.9310665682546
2025-06-06 18:00:00,204.7125349452826,240.80117904942918
2025-06-06 18:30:00,-748.4656922703166,-500.4072905745084
2025-06-07 06:00:00,72.2800722346946,47.0468741149333
2025-06-07 06:30:00,142.84368401939744,111.66790004399516
2025-06-07 07:00:00,217.61440857660577,168.70012640987082
2025-06-07 07:30:00,597.1920006860137,331.13902702641246
2025-06-07 08:00:00,1139.9645357229426,705.9608356667306
2025-06-07 08:30:00,1674.212675285157,1152.3457665812539
2025-06-07 09:00:00,2045.0877109428748,1557.7567466761682
2025-06-07 09:30:00,2374.272690488459,1909.267096579425
2025-06-07 10:00:00,2551.0990533422155,2011.0155308443616
2025-06-07 10:30:00,2476.533816427844,2124.4516697867693
2025-06-07 11:00:00,2068.9091740668587,1747.5368924115842
2025-06-07 11:30:00,2338.1951958468594,1831.4983042510637
2025-06-07 12:00:00,2235.1999770887473,1920.018983053656
2025-06-07 12:30:00,3220.7818701608808,2548.796165272303
2025-06-07 13:00:00,3325.727842271808,2778.7525678224742
2025-06-07 13:30:00,3380.724630055014,2798.5036672769006
2025-06-07 14:00:00,3459.1269857588136,2763.274310616903
2025-06-07 14:30:00,3293.803864643839,2582.4241590555857
2025-06-07 15:00:00,3131.647086883509,2413.394003762948
2025-06-07 15:30:00,2977.371078440102,2184.8799559623244
2025-06-07 16:00:00,2738.691690370981,1904.0506719215673
2025-06-07 16:30:00,2340.5151225138425,1623.602277056456
2025-06-07 17:00:00,1896.2915995635592,1247.9074651137926
2025-06-07 17:30:00,1305.4322061471148,878.3520654223752
2025-06-07 18:00:00,138.51895967075635,92.538314267721
2025-06-08 06:00:00,221.59089697086515,65.31823328369194
2025-06-08 06:30:00,305.05207316294144,43.855343152217735
2025-06-08 07:00:00,353.5170644409381,26.57575021517251
2025-06-08 07:30:00,656.1770680765965,-106.65778264545094
2025-06-08 08:00:00,1257.5182466783547,-1056.0042678505508
2025-06-08 08:30:00,1746.0746612041842,-2617.568846017817
2025-06-08 09:00:00,923.2579521269711,-10081.941217173944
2025-06-08 09:30:00,2349.869484492062,-8817.425281143398
2025-06-08 10:00:00,2625.638217197175,-11291.587068943683
2025-06-08 10:30:00,2458.6295899277725,-15305.033211085929
2025-06-08 11:00:00,1390.0426781794172,-24008.21637829284
2025-06-08 11:30:00,2528.3097186894274,-22350.928126765793
2025-06-08 12:00:00,1406.6304585208989,-30964.75253431878
2025-06-08 12:30:00,2720.7909599088903,-30052.156941021618
2025-06-08 13:00:00,6272.288638870936,-18940.006430016132
2025-06-08 13:30:00,6534.757302608442,-17112.08656930427
2025-06-08 14:00:00,5669.406261011026,-16828.59552221167
2025-06-08 14:30:00,2847.793066199056,-17453.37878621618
2025-06-08 15:00:00,3015.1067507283574,-16720.393715048995
2025-06-08 15:30:00,2950.5198258067235,-15998.257589720037
2025-06-08 16:00:00,3039.8440361296252,-4998.122292053938
2025-06-08 16:30:00,2172.682735715375,-3440.3538571990657
2025-06-08 17:00:00,1551.337628851385,-2146.6634758831065
2025-06-08 17:30:00,259.75385760058987,-61.648414035256046
2025-06-08 18:00:00,118.50494279134867,64.8479430301305
2025-06-08 18:30:00,44.930859629980844,25.437119189499516
2025-06-08 19:00:00,30.023657077592897,-27.98621166048096
2025-06-08 19:30:00,124.65965387926201,54.59555027214982
2025-06-08 20:00:00,-678.2611911886202,33.159694430963505
2025-06-08 20:30:00,136.88109442384007,40.76290116556671
2025-06-08 21:00:00,-470.8899416997851,50.118270321211405
2025-06-08 21:30:00,136.6610657677891,40.51785270170948
2025-06-08 22:00:00,143.00756951795225,45.360910678206
2025-06-08 22:30:00,94.6015804577323,41.89413538010943
2025-06-08 23:00:00,-29.168241218151493,36.640311697967455
2025-06-08 23:30:00,-2421.1566961194744,36.29381908989044
2025-06-09 00:00:00,1.9738087354256568,-54.47387637347838
2025-06-09 00:30:00,-5.546755694001615,-13.817352003725347
2025-06-09 01:00:00,-3.243174023540697,-4.2945615458876025
2025-06-09 01:30:00,-0.410977489354751,-61.10676743071948
2025-06-09 02:00:00,-4.012141722251885,-9.785493114271972
2025-06-09 02:30:00,1.4104402822022417,-79.93101012243125
